id,id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Elem_School_District,Hightest_Rated_School
85,1462,450000,4122 N 36TH ST,85018,Closed,6361694,PALMS PARKWAY 2,1953,3,2.0,3765.0,2.2,Creighton,75.8
86,1481,620000,3402 E Pinchot AVE,85018,Closed,6375384,West Citrus Acres,1950,3,3.0,1590.0,2.2,Creighton,75.8
87,1495,895000,4015 E GLENROSA AVE,85018,Closed,6372485,SUNCREST GARDENS,1954,3,2.0,1984.0,2.2,Creighton,75.8
88,1627,391000,3813 N 32ND WAY,85018,Closed,6389024,MARSHALL PARKWAY,1950,2,1.5,1241.0,2.2,Creighton,75.8
89,1676,830000,4328 E CHEERY LYNN RD,85018,Closed,6369596,LEROY VISTA,1952,3,3.0,2684.0,2.2,Creighton,75.8
90,1701,715000,3436 E Fairmount AVE,85018,Closed,6378000,Tierra Villa #1,1972,3,2.0,1951.0,2.2,Creighton,75.8
91,1759,680000,3866 E CLARENDON AVE,85018,Closed,6380151,SUNCREST MANOR LOT 33-45,1954,4,2.0,1396.0,2.2,Creighton,75.8
92,1823,705000,3628 E WELDON AVE,85018,Closed,6371195,"SUNCREST ESTATES 2 LOT 90-140, 70-77",1953,3,2.0,1852.0,2.2,Creighton,75.8
93,1899,1125000,4540 N 34TH PL N,85018,Closed,6376344,PREMIERE HEIGHTS,1971,3,2.0,1860.0,2.2,Creighton,75.8
94,1911,905000,4145 N 34TH PL,85018,Closed,6356750,PALMS PARKWAY 1,1953,4,2.0,1630.0,2.2,Creighton,75.8
95,1918,910000,4440 E CAMPBELL AVE,85018,Closed,6367728,CAVALIER PALMS 1-41,1954,3,2.0,1169.0,2.2,Creighton,75.8
96,1940,650000,3843 N 34TH PL,85018,Closed,6367784,TIERRA VILLA NO 1,1971,3,2.0,1188.0,2.2,Creighton,75.8
97,2000,720000,4206 E EARLL DR,85018,Closed,6363802,LEROY VISTA,1951,3,1.0,1407.0,2.2,Creighton,75.8
98,2149,930000,3722 E FAIRMOUNT AVE,85018,Closed,6371235,"SUNCREST ESTATES 2 LOT 90-140, 70-77",1953,4,3.0,2208.0,2.2,Creighton,75.8
99,2213,700000,3213 E ROMA AVE,85018,Closed,6280492,CAMELBACK WAY,1950,2,1.0,1107.0,2.2,Creighton,75.8
100,2229,825000,4633 N 44TH ST,85018,Closed,6304383,REGENTS PARK,1958,3,2.0,1363.0,2.2,Creighton,75.8
101,3,399900,8020 W STELLA AVE,85303,Active,6384821,SHALIMAR,1997,3,2.0,1505.0,0.0,Cartwright,95.89
102,44,379750,7214 W CAVALIER DR,85303,Active,6395420,BETHANY HERMOSA PARK 1,1970,3,2.0,1235.0,0.0,Cartwright,95.89
103,125,375000,6825 W DENTON LN,85303,Active,6393401,HALLCRAFT WEST SIDE ESTATES,1978,3,2.0,1699.0,0.0,Cartwright,95.89
104,182,421000,6709 N 77TH DR,85303,Active,6363214,MEADOWS AT INDEPENDENCE LOT 1-297,1994,3,2.0,1446.0,0.0,Cartwright,95.89
105,209,338000,6933 W GEORGIA AVE,85303,Active,6380897,HALLCRAFT WEST SIDE ESTATES 2,1977,2,1.0,832.0,0.0,Cartwright,95.89
106,255,395999,6914 W SIERRA VISTA DR,85303,Active,6380956,BRIGHTON MANOR,1986,3,2.0,1434.0,0.0,Cartwright,95.89
107,261,369900,7913 W TUCKEY LN,85303,Active,6385023,CHAPARRAL COUNTRY AMD,1986,3,2.0,1242.0,0.0,Cartwright,95.89
108,329,491000,5729 N 71ST DR,85303,Active,6394100,BETHANY RANCH,2019,3,2.0,1895.0,0.0,Cartwright,95.89
109,362,385000,7742 W NICOLET AVE,85303,Active,6393891,ORANGEWOOD ESTATES,2003,3,2.0,1546.0,0.0,Cartwright,95.89
110,399,379000,7716 W SAN JUAN AVE,85303,Active,6392417,WEST PLAZA 29 & 30 LOTS 263-343 AND TRACTS A-C,1990,3,2.0,1797.0,0.0,Cartwright,95.89
111,401,425000,7114 N 72ND AVE,85303,Active,6393642,PARADISE VIEWS 2,2002,4,2.0,1729.0,0.0,Cartwright,95.89
